Albumin	Alb
Alb	Albumin
Albumin-to-Creatinine Ratio	ACR Albumin creatinine ratio
ACR	Albumin-to-Creatinine Ratio Albumin creatinine ratio
Albumin creatinine ratio	ACR Albumin-to-Creatinine Ratio
Alcohol	Alcoholic Ethanol alcoh
Alcoholic	Alcohol Ethanol alcoh
Ethanol	Alcoholic Alcohol alcoh
alcoh	Ethanol Alcoholic Alcohol
ABI	Ankle brachial index Arm blood pressure Ankle blood pressure brachial blood pressure
Ankle brachial index	ABI Arm blood pressure Ankle blood pressure brachial blood pressure
Aorta	Aortic
Aortic	Aorta
Apolipoprotein	Apo
Apo	Apolipoprotein
Aspirin	NSAIDS Arachidonic acid
NSAIDS	Arachidonic acid Aspirin
Arachidonic acid	NSAIDS Aspirin
Afib	Atrial fibrillation AF Atrial fib
AF	Afib Atrial fibrillation Atrial fib
Atrial	fib Atrial fibrillation Afib Atrial fibrillation AF
Atrial fibrillation	AF afib
Avg	Average Mean
BL	Baseline	
Baso	Basophils
Begin	Start
Start	Begin
Birth control pills	BCP BC Oral contraceptives
BCP	Birth control pills BC Oral contraceptives
BC	BCP Birth control pills Oral contraceptives
Oral contraceptives	Birth control pills BCP BC
Blood pressure	BP
BP	Blood pressure
Body mass index	BMI KG height weight
BMI	Body mass index height weight					
Body surface area	BSA
BSA	Body surface area					
Bone mineral density	BMD
BMD	Bone mineral density					
Calories	Kcal
Kcal	Calories					
Cancer	Malignant Tumor Malignancy
Tumor	Malignant Cancer Malignancy
Cardiovascular disease	CVD
CVD	Cardiovascular disease						
Cavities	Caries
Caries	Cavities				
Cholesterol medication	Cholesterol lowering Anti-cholesterol Statin Statins Anti-hypercholesterolemic Lipid Lowering Chol lowering
Cholesterol lowering	Cholesterol medication Anti-cholesterol Statin Statins Anti-hypercholesterolemic Lipid Lowering Chol lowering
Anti-cholesterol	Cholesterol lowering Cholesterol medication Statin Statins Anti-hypercholesterolemic Lipid Lowering Chol lowering
Statin	Cholesterol medication Cholesterol lowering Statin Statins Anti-hypercholesterolemic Lipid Lowering Chol lowering
Statins	Cholesterol medication Cholesterol lowering Anti-cholesterol Statin Anti-hypercholesterolemic Lipid Lowering Chol lowering
Anti-hypercholesterolemic	Cholesterol medication Cholesterol lowering Anti-cholesterol Statin Statins Lipid Lowering Chol lowering
Lipid Lowering	Anti-hypercholesterolemic Cholesterol medication Cholesterol lowering Anti-cholesterol Statin Statins Chol lowering
Chol lowering	Lipid Lowering Anti-hypercholesterolemic Cholesterol medication Cholesterol lowering Anti-cholesterol Statin Statins
LDL	Low density lipoprotein high density lipoprotein HDL total cholestrol Triglycerides Trigs
HDL	Low density lipoprotein high density lipoprotein LDL total cholestrol Triglycerides Trigs
Low density lipoprotein	LDL high density lipoprotein HDL total cholestrol Triglycerides Trigs
high density lipoprotein	LDL Low density lipoprotein HDL total cholestrol Triglycerides Trigs
